YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2015,"Hunter, R.J.",SG,76.5,185,22.22,0.06,82.5,104,8.5,8.3,27.5,33.5,10.87,2.91,3.26,1,1.078,70.1,131.5,137.5
2015,"Hunter, Vince",PF,78.75,208.4,23.62,0.046,83,104.5,9,8.8,33.5,37.5,11.19,3.06,3.26,13,1.054,78.8,138,142
2015,"Johnson, Dakari",C,83,264.6,27,0.149,86,112,9.25,10.5,22.5,25,11.76,2.94,3.62,4,1.036,97.1,134.5,137
2015,"Johnson, Stanley",SF,77,241.8,28.67,0.075,83.5,102,9,9,NA,NA,NA,NA,NA,NA,1.084,81,NA,NA
2015,"Jones, Tyus",PG,72.5,184.6,24.69,0.065,77,97,8.25,8.8,26.5,32.5,11.84,2.95,3.32,2,1.062,72.2,123.5,129.5
2015,"Kaminsky, Frank",C-PF,83.75,231.2,23.17,0.094,83,109.5,8.5,9.5,NA,NA,NA,NA,NA,NA,0.991,80.8,NA,NA
2015,"Looney, Kevon",PF,80,222.4,24.43,0.119,87.5,110,9.5,9.3,NA,NA,NA,NA,NA,NA,1.094,87.9,NA,NA
2015,"Lyles, Trey",PF,81,241.2,25.84,0.121,85.5,108,9.25,10.3,NA,NA,NA,NA,NA,NA,1.056,94.8,NA,NA
2015,"Martin, Jarell",PF,80,238.6,26.21,0.101,81,106.5,8.25,9.5,28.5,35,11.2,2.97,3.27,19,1.013,78.4,135,141.5
2015,"McConnell, TJ",PG,72.5,187.8,25.12,0.073,74,96.5,7.5,7,26,31.5,10.95,3.09,3.3,7,1.021,52.5,122.5,128
2015,"McCullough, Chris",PF,80.25,199,21.72,0.062,87.25,109,8.75,8.8,NA,NA,NA,NA,NA,NA,1.087,76.6,NA,NA
2015,"Mickey, Jordan",PF,79,238,26.81,0.072,87.25,106,8.75,9.5,33,37.5,11.72,3.13,3.28,9,1.104,83.1,139,143.5
2015,"Nance, Larry",PF,79.5,226.6,25.2,0.064,85.5,108,9,9.8,29,37.5,10.93,3.01,3.25,10,1.075,87.8,137,145.5
2015,"Oubre, Kelly",SF-SG,77.75,202.8,23.58,0.057,86.25,102.5,9,8.8,34.5,37,11.09,3.12,3.32,7,1.109,78.8,137,139.5
2015,"Payne, Cameron",PG,72.75,182.8,24.28,0.063,79.25,97.5,8.5,8.3,29.8,35.5,10.9,2.93,3.28,0,1.089,70.1,127.3,133
2015,"Petteway, Terran",SG,76.75,209.2,24.97,0.049,83.25,104.5,8.25,8.3,25,31,10.91,3.1,3.32,15,1.085,68.1,129.5,135.5
2015,"Portis, Bobby",PF,81.5,246.2,26.06,0.089,86,108.5,9.5,9.3,25,31.5,11.78,3.28,3.56,5,1.055,87.9,133.5,140
2015,"Powell, Norman",SG,75,215.4,26.92,0.064,82.75,102.5,9.25,9,32.5,40.5,10.69,3.2,3.2,5,1.103,83.3,135,143
2015,"Qualls, Michael",SG-SF,76,201.4,24.51,0.04,84.25,104.5,9,10.3,34,39.5,11.88,NA,3.18,9,1.109,92.3,138.5,144
2015,"Randle, Chasson",PG,72.25,178.8,24.08,0.045,79,96.5,8.5,9.5,33.5,39.5,10.63,2.81,3.2,6,1.093,80.8,130,136
2015,"Rozier, Terry",PG-SG,72.5,190.2,25.44,0.056,80.25,98.5,8.25,8.5,33,38,10.84,2.84,3.15,7,1.107,70.1,131.5,136.5
2015,"Russell, D?Angelo",PG-SG,75.25,193.4,24.01,0.083,81.75,102,8.75,9.8,NA,NA,NA,NA,NA,NA,1.086,85.3,NA,NA
2015,"Sykes, Keifer",PG,70.5,167.2,23.65,0.05,74,93,8.5,9.5,34,43,10.47,3.15,3.13,8,1.05,80.8,127,136
2015,"Thornton, Marcus",PG-SG,73.75,177.4,22.93,0.053,79.75,97.5,8.25,8.5,34.5,43,10.78,2.88,3.02,3,1.081,70.1,132,140.5
2015,"Tokoto, J.P.",SF-SG,77.25,195.8,23.07,0.041,82,100.5,8,8.8,34.5,40,10.97,3.2,3.27,12,1.061,70,135,140.5
2015,"Turner, Myles",C-PF,81.75,238.6,25.1,0.093,88,112,9.25,9.3,NA,NA,NA,NA,NA,NA,1.076,85.6,NA,NA
