,YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
48,2024,Dalton Knecht,SF,77.3,212.2,25.0,,81.0,103.5,8.5,9.5,31.0,39.0,10.56,2.79,3.07
49,2024,Tyler Kolek,PG,73.3,196.6,25.76,,74.8,95.0,8.25,9.5,27.0,34.0,10.97,3.08,3.27
50,2024,Pelle Larsson,SG,77.3,212.4,25.02,,79.5,102.0,8.75,10.3,30.5,38.0,11.15,2.91,3.06
51,2024,Jared McCain,SG,74.0,203.2,26.09,,75.5,98.0,8.25,9.5,25.5,33.0,10.87,3.07,3.23
52,2024,Kevin McCullar Jr.,SF,77.3,205.8,24.24,,81.0,103.0,8.75,9.5,,,,,
53,2024,Yves Missi,C,82.8,229.4,23.55,,86.0,109.5,9.5,10.0,31.0,38.5,11.45,3.12,3.12
54,2024,Ajay Mitchell,PG,75.3,197,24.46,,78.3,101.0,8.5,8.5,28.0,33.5,11.12,2.95,3.11
55,2024,Jonathan Mogbo,PF,78.3,217.2,24.94,,86.0,108.5,8.75,8.8,31.5,37.5,11.14,3.07,3.02
56,2024,Tristen Newton,PG,75.3,191.8,23.81,,78.8,100.0,8.5,9.0,25.0,32.5,10.96,2.84,3.24
57,2024,Juan Nunez,PG,76.0,205.6,25.02,,78.5,102.0,8.5,9.5,22.0,29.0,11.47,3.1,3.41
58,2024,Quinten Post,C,84.0,244.4,24.35,,86.5,112.0,9.25,10.0,24.0,27.0,11.48,3.03,3.4
59,2024,Antonio Reeves,SG,76.5,186.6,22.42,,80.3,100.5,9.0,10.0,29.0,36.0,11.44,3.16,3.14
60,2024,Zaccharie Risacher,SF,80.5,194.6,21.11,,81.5,107.0,8.5,8.8,25.0,31.0,11.51,2.97,3.38
61,2024,Jaxson Robinson,SG,76.8,188.6,22.51,,83.3,103.0,9.0,9.5,29.5,34.0,11.39,3.06,3.17
62,2024,Tidjane Salaun,PF,80.8,217.4,23.44,,85.5,110.0,8.5,9.8,27.5,32.0,11.45,3.05,3.37
63,2024,Hunter Sallis,SG,75.5,179.4,22.13,,81.8,100.5,8.0,9.5,29.5,36.0,10.82,3.16,3.11
64,2024,Payton Sandfort,SF,78.3,212,24.34,,80.0,104.0,8.5,9.0,22.0,28.0,11.57,2.84,3.43
65,2024,Alexandre Sarr,C,83.8,224.2,22.47,,88.3,110.0,9.0,10.0,30.5,37.0,11.43,3.23,3.27
66,2024,Baylor Scheierman,SF,78.3,201.6,23.15,,80.3,102.5,9.25,9.8,27.5,32.0,10.89,2.94,3.09
67,2024,Mark Sears,PG,70.3,192.4,27.41,,74.0,92.0,8.0,8.5,32.0,39.0,11.96,3.26,3.33
68,2024,Terrence Shannon Jr.,SF,77.8,219.4,25.51,,80.8,100.0,8.75,8.5,,,,,
