,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season
11909,231,Robert Werdann,NJN,26,83.0,250.0,St. John's (NY),USA,1992,2,46,6,1.5,1.0,0.0,-14.5,0.143,0.541,0.0,1996-97
11294,4102,Robert Whaley,UTA,24,82.0,260.0,Walsh,USA,2005,2,51,23,2.1,1.9,0.7,-12.6,0.158,0.411,0.138,2005-06
4031,12066,Robert Williams III,BOS,24,81.0,237.0,Texas A&M,USA,2018,1,27,61,10.0,9.6,2.0,10.0,0.112,0.745,0.095,2021-22
12002,11513,Robert Woodard II,SAC,21,78.0,235.0,Mississippi State,USA,2020,2,40,13,1.5,1.2,0.2,6.6,0.21,0.425,0.056,2020-21
3081,9777,Robin Lopez,CHI,30,84.0,277.0,Stanford,USA,2008,1,15,64,11.8,4.5,1.9,-6.1,0.203,0.552,0.119,2017-18
1091,608,Rod Strickland,WAS,31,75.0,185.0,DePaul,USA,1988,1,19,76,17.8,5.3,10.5,1.3,0.235,0.501,0.417,1997-98
5024,10427,Rodions Kurucs,BKN,21,81.0,210.0,,Latvia,2018,2,40,63,8.5,3.9,0.8,-0.4,0.175,0.545,0.057,2018-19
4357,2223,Rodney Buford,MEM,24,77.0,189.0,Creighton,USA,1999,2,53,63,9.4,4.3,1.1,-9.5,0.179,0.47,0.068,2001-02
5986,5600,Rodney Carney,MIN,25,79.0,201.0,Memphis,USA,2006,1,16,67,7.2,1.9,0.4,-5.5,0.187,0.532,0.038,2008-09
1910,9795,Rodney Hood,CLE,25,80.0,206.0,Duke,USA,2014,1,23,60,14.7,2.8,1.6,-2.3,0.24,0.546,0.097,2017-18
5683,10429,Rodney McGruder,LAC,27,76.0,200.0,Kansas State,USA,,Undrafted,Undrafted,66,7.6,3.6,1.7,-1.4,0.147,0.51,0.103,2018-19
7112,9796,Rodney Purvis,ORL,24,76.0,205.0,Connecticut,USA,,Undrafted,Undrafted,16,6.0,1.7,1.1,-9.1,0.187,0.423,0.092,2017-18
1771,607,Rodney Rogers,LAC,27,79.0,255.0,Wake Forest,USA,1993,1,9,76,15.1,5.6,2.7,-10.0,0.227,0.532,0.139,1997-98
1379,5808,Rodney Stuckey,DET,24,77.0,205.0,Eastern Washington,USA,2007,1,15,73,16.6,3.8,4.8,-3.8,0.263,0.479,0.246,2009-10
4651,2792,Rodney White,DEN,23,81.0,230.0,North Carolina-Charlotte,USA,2001,1,9,72,9.0,3.0,1.7,-11.3,0.24,0.469,0.156,2002-03
7236,606,Rodrick Rhodes,HOU,24,78.0,225.0,Southern California,USA,1997,1,24,58,5.8,1.2,1.9,-4.2,0.2,0.439,0.175,1997-98
4735,7138,Rodrigue Beaubois,DAL,24,74.0,185.0,,France,2009,1,25,53,8.9,2.8,2.9,2.3,0.221,0.496,0.217,2011-12
3063,5537,Roger Mason Jr.,SAS,28,77.0,212.0,Virginia,USA,2002,2,30,82,11.8,3.1,2.1,5.2,0.19,0.554,0.109,2008-09
12541,4586,Roger Powell,UTA,24,78.0,220.0,Illinois,USA,,Undrafted,Undrafted,3,0.7,1.0,0.0,-55.2,0.216,0.258,0.0,2006-07
8933,5538,Roko Ukic,TOR,24,77.0,183.0,,USA,2005,2,41,72,4.2,1.0,2.1,-5.5,0.208,0.43,0.285,2008-09
6294,12336,Romeo Langford,SAS,23,77.0,216.0,Indiana,USA,2019,1,14,43,6.9,2.7,1.2,-8.5,0.148,0.524,0.08,2022-23
9069,9287,Ron Baker,NYK,24,76.0,220.0,Wichita State,USA,,Undrafted,Undrafted,52,4.1,1.9,2.1,-2.5,0.152,0.456,0.188,2016-17
3337,1084,Ron Harper,CHI,35,78.0,216.0,Miami (OH),USA,1986,1,8,35,11.2,5.1,3.3,-4.8,0.214,0.451,0.197,1998-99
11245,12335,Ron Harper Jr.,TOR,23,77.0,245.0,Rutgers,USA,,Undrafted,Undrafted,9,2.2,0.8,0.4,21.8,0.136,0.608,0.108,2022-23
745,2185,Ron Mercer,CHI,25,79.0,210.0,Kentucky,USA,1997,1,6,61,19.7,3.9,3.3,-11.0,0.248,0.492,0.16,2000-01
6878,3338,Ronald Dupree,CHI,23,79.0,209.0,Louisiana State,USA,,Undrafted,Undrafted,47,6.2,3.6,1.2,-6.6,0.183,0.445,0.103,2003-04
2189,9825,Rondae Hollis-Jefferson,BKN,23,79.0,214.0,Arizona,USA,2015,1,23,68,13.9,6.8,2.5,-3.7,0.217,0.548,0.143,2017-18
2245,5539,Ronnie Brewer,UTA,24,79.0,227.0,Arkansas,USA,2006,1,14,81,13.7,3.7,2.2,1.1,0.187,0.565,0.105,2008-09
7780,8843,Ronnie Price,PHX,33,74.0,190.0,Utah Valley,USA,,Undrafted,Undrafted,62,5.3,1.6,2.4,-3.2,0.137,0.517,0.187,2015-16
6512,5245,Ronny Turiaf,LAL,25,82.0,250.0,Gonzaga,France,2005,2,37,78,6.6,3.9,1.6,5.1,0.168,0.539,0.13,2007-08
1201,235,Rony Seikaly,ORL,32,83.0,253.0,Syracuse,USA,1988,1,9,74,17.3,9.5,1.2,-1.7,0.238,0.567,0.064,1996-97
4223,2186,Roshown McLeod,PHI,25,80.0,221.0,Duke,USA,1998,1,20,35,9.6,3.4,1.7,-2.6,0.205,0.475,0.112,2000-01
2595,7143,Roy Hibbert,IND,25,86.0,260.0,Georgetown,USA,2008,1,17,65,12.8,8.8,1.7,5.4,0.212,0.539,0.093,2011-12
6480,236,Roy Rogers,VAN,23,82.0,235.0,Alabama,USA,1996,1,22,82,6.6,4.7,0.6,-13.6,0.154,0.518,0.042,1996-97
7462,5244,Royal Ivey,MIL,26,76.0,215.0,Texas,USA,2004,2,37,75,5.6,1.6,2.1,-8.6,0.16,0.487,0.176,2007-08
4826,12334,Royce O'Neale,BKN,30,78.0,226.0,Baylor,USA,,Undrafted,Undrafted,76,8.8,5.1,3.7,2.1,0.136,0.538,0.155,2022-23
