player_name,age,player_height,player_weight,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,usg_pct,ts_pct,ast_pct,season,POS,BMI,BF,WNGSPN,STNDRCH,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT
TyTy Washington Jr.,21,75.0,195.0,2022.0,1,29,31,4.7,1.5,1.5,-6.1,0.17,0.432,0.152,2022-23,SG,25.04,0.12,80.0,99.5,,,,,
Tyler Bey,23,79.0,215.0,2020.0,2,36,18,1.0,1.1,0.2,-27.0,0.143,0.372,0.063,2020-21,PF,24.59,0.05,85.25,105.5,37.0,43.5,11.35,2.75,3.17
Tyler Cook,23,80.0,255.0,,Undrafted,Undrafted,32,4.9,3.0,0.5,-4.2,0.136,0.659,0.057,2020-21,PF,27.47,0.061,84.5,106.5,27.5,32.0,11.32,3.1,3.28
Tyler Dorsey,22,77.0,183.0,2017.0,2,41,56,7.2,2.3,1.4,-7.1,0.193,0.494,0.128,2017-18,SG,22.82,0.047,77.25,99.5,30.5,36.0,10.55,2.98,3.16
Tyler Ennis,21,75.0,194.0,2014.0,1,18,46,4.5,1.6,2.1,-5.5,0.173,0.51,0.225,2015-16,PG,23.94,0.062,79.25,98.0,29.0,36.0,11.12,2.84,3.3
Tyler Hansbrough,25,81.0,250.0,2009.0,1,13,70,11.0,5.2,0.6,-4.9,0.227,0.529,0.047,2010-11,PF,25.57,0.085,83.5,106.0,27.5,34.0,11.12,,3.27
Tyler Herro,22,77.0,195.0,2019.0,1,13,66,20.7,5.0,4.0,5.3,0.278,0.561,0.205,2021-22,SG,23.11,0.071,75.25,100.5,,,,,
Tyler Honeycutt,21,80.0,188.0,2011.0,2,35,15,1.3,0.9,0.5,-5.9,0.135,0.382,0.106,2011-12,SF,21.18,0.053,81.0,105.0,30.0,37.0,11.68,,3.07
Tyler Lydon,23,82.0,225.0,2017.0,1,24,25,0.9,0.7,0.2,-8.3,0.097,0.595,0.087,2018-19,PF,23.47,0.136,84.0,107.5,29.5,33.5,11.68,2.81,3.46
Tyler Ulis,22,70.0,160.0,2016.0,2,34,71,7.8,1.8,4.4,-8.6,0.184,0.465,0.282,2017-18,PG,22.19,0.052,74.0,88.5,32.5,38.0,10.8,2.88,3.2
Tyler Zeller,25,84.0,253.0,2012.0,1,17,82,10.2,5.7,1.4,-3.0,0.198,0.594,0.106,2014-15,PF-C,25.09,0.064,84.0,104.5,30.0,34.0,11.13,,3.4
Tyreke Evans,20,78.0,220.0,2009.0,1,4,72,20.1,5.3,5.8,-7.0,0.264,0.529,0.268,2009-10,PG-SG,26.85,0.071,83.25,104.0,28.5,34.0,11.81,,3.17
Tyrell Terry,20,74.0,160.0,2020.0,2,31,11,1.0,0.5,0.5,0.0,0.135,0.318,0.158,2020-21,PG,22.12,0.076,73.75,96.0,30.0,34.0,10.78,2.59,3.28
Tyrus Thomas,22,81.0,215.0,2006.0,1,4,79,10.8,6.4,1.0,-3.7,0.195,0.525,0.057,2008-09,PF-SF,24.29,0.056,87.0,108.0,34.0,39.5,11.36,,3.2
Tyshawn Taylor,24,75.0,185.0,2012.0,2,41,23,3.9,0.7,1.6,-23.9,0.231,0.427,0.242,2013-14,PG,22.27,0.042,78.25,97.5,32.0,36.5,11.48,,3.2
Tyson Chandler,25,85.0,235.0,2001.0,1,2,79,11.8,11.7,1.0,7.8,0.145,0.632,0.043,2007-08,SF-PF,22.59,0.067,87.0,110.0,31.0,33.5,12.13,,3.36
Tyus Jones,27,74.0,196.0,2015.0,1,24,80,10.3,2.5,5.2,2.0,0.175,0.546,0.286,2022-23,PG,24.69,0.065,77.0,97.0,26.5,32.5,11.84,2.95,3.32
Udoka Azubuike,22,84.0,270.0,2020.0,1,27,17,4.7,4.2,0.0,2.0,0.143,0.743,0.0,2021-22,C,27.13,0.0961,91.25,109.0,37.0,41.0,11.82,3.61,3.23
Udonis Haslem,28,80.0,235.0,,Undrafted,Undrafted,49,12.0,9.0,1.4,-8.3,0.163,0.517,0.062,2007-08,PF,27.63,,83.0,107.0,28.5,33.5,11.8,,3.31
Vander Blue,22,76.0,200.0,,Undrafted,Undrafted,2,11.0,4.5,4.0,-23.0,0.205,0.342,0.178,2014-15,SG,24.34,0.046,78.0,100.5,28.0,37.5,10.4,2.7,3.14
Victor Oladipo,26,76.0,210.0,2013.0,1,2,75,23.1,5.2,4.3,5.9,0.295,0.577,0.209,2017-18,SG,26.47,0.0655,81.25,100.5,33.0,42.0,10.69,3.14,3.25
Vincent Yarbrough,22,79.0,210.0,2002.0,2,32,59,6.9,2.7,2.2,-7.6,0.174,0.446,0.16,2002-03,SF,23.64,,84.5,104.5,30.0,34.0,11.7,,3.32
Wade Baldwin IV,22,76.0,202.0,2016.0,1,17,7,5.4,1.1,0.7,6.0,0.159,0.748,0.093,2017-18,PG,25.56,0.052,83.25,100.0,32.5,38.0,10.45,3.01,3.19
Walker Kessler,21,84.0,245.0,2022.0,1,22,74,9.2,8.4,0.9,3.0,0.13,0.702,0.057,2022-23,C,25.35,0.147,88.25,113.0,,,,,
Wayne Ellington,30,77.0,200.0,2009.0,1,28,77,11.2,2.8,1.0,2.2,0.167,0.588,0.06,2017-18,SG,24.47,0.055,78.5,100.0,31.5,38.0,11.14,,3.2
Wayne Selden,23,77.0,230.0,,Undrafted,Undrafted,35,9.3,1.6,1.9,-8.4,0.212,0.551,0.154,2017-18,SG,28.1,0.073,82.5,101.0,,,,,
Wayne Simien,23,81.0,250.0,2005.0,1,29,43,3.4,2.0,0.2,-3.6,0.177,0.541,0.031,2005-06,PF,28.63,,84.0,107.0,27.0,27.5,11.05,,3.35
Wesley Johnson,27,79.0,215.0,2010.0,1,4,76,9.9,4.2,1.6,-6.8,0.164,0.509,0.084,2014-15,SF,23.7,0.046,85.0,106.0,32.0,37.0,11.43,,3.14
Will Barton,27,78.0,190.0,2012.0,2,40,81,15.7,5.0,4.1,2.1,0.201,0.562,0.185,2017-18,SG-SF,20.68,0.041,81.75,102.5,30.0,34.0,12.5,,3.6
Will Blalock,23,72.0,205.0,2006.0,2,60,14,1.8,1.1,1.2,-6.7,0.12,0.383,0.193,2006-07,PG,26.87,0.072,78.0,96.5,35.0,40.0,11.08,,3.18
Will Bynum,27,72.0,185.0,,Undrafted,Undrafted,63,10.0,2.3,4.5,-10.0,0.203,0.513,0.284,2009-10,PG-SG,26.7,,75.5,93.0,33.0,40.5,11.12,,3.0
Will Conroy,27,74.0,195.0,,Undrafted,Undrafted,5,1.2,0.6,1.4,-22.3,0.185,0.276,0.304,2009-10,PG,24.88,,75.0,96.5,30.5,36.5,10.51,,3.28
Will Solomon,23,73.0,185.0,2001.0,2,32,62,5.2,1.1,1.5,-6.8,0.215,0.442,0.189,2001-02,PG-SG,23.49,0.04,81.5,99.5,28.5,35.0,11.3,,3.22
Willie Cauley-Stein,24,84.0,240.0,2015.0,1,6,73,12.8,7.0,2.4,-7.8,0.215,0.529,0.135,2017-18,C,24.59,0.063,87.0,111.0,,,,,
